familyLanguage	nc_sim	nc_sim_credI	nc_ident	nc_ident_credI	feat_sim	feat_sim_credI	feat_ident	feat_ident_credI
abkhaz-adyge_abkhaz	0.289	[ -0.775 ,  1.297 ]	0.41	[ -0.163 ,  0.968 ]	0.289	[ -0.775 ,  1.297 ]	0.41	[ -0.163 ,  0.968 ]
abkhaz-adyge_adyghe	0.286	[ -0.761 ,  1.311 ]	0.304	[ -0.262 ,  0.844 ]	0.286	[ -0.761 ,  1.311 ]	0.304	[ -0.262 ,  0.844 ]
afro-asiatic_modern.hebrew	0.206	[ -0.752 ,  1.115 ]	0.31	[ -0.232 ,  0.816 ]	0.206	[ -0.752 ,  1.115 ]	0.31	[ -0.232 ,  0.816 ]
afro-asiatic_standard.arabic	0.14	[ -0.877 ,  1.086 ]	0.381	[ -0.121 ,  0.934 ]	0.14	[ -0.877 ,  1.086 ]	0.381	[ -0.121 ,  0.934 ]
ainu_hokkaido.ainu	0.18	[ -0.825 ,  1.116 ]	0.35	[ -0.173 ,  0.885 ]	0.18	[ -0.825 ,  1.116 ]	0.35	[ -0.173 ,  0.885 ]
basque_basque	0.262	[ -0.68 ,  1.133 ]	0.319	[ -0.247 ,  0.831 ]	0.262	[ -0.68 ,  1.133 ]	0.319	[ -0.247 ,  0.831 ]
burushaski_burushaski	0.45	[ -0.438 ,  1.45 ]	0.291	[ -0.256 ,  0.83 ]	0.45	[ -0.438 ,  1.45 ]	0.291	[ -0.256 ,  0.83 ]
chukotko-kamchatkan_chukchi	0.391	[ -0.606 ,  1.347 ]	0.417	[ -0.1 ,  0.986 ]	0.391	[ -0.606 ,  1.347 ]	0.417	[ -0.1 ,  0.986 ]
chukotko-kamchatkan_itelmen	0.136	[ -0.861 ,  1.122 ]	0.383	[ -0.129 ,  0.963 ]	0.136	[ -0.861 ,  1.122 ]	0.383	[ -0.129 ,  0.963 ]
dravidian_kannada	0.25	[ -0.67 ,  1.092 ]	0.314	[ -0.2 ,  0.809 ]	0.25	[ -0.67 ,  1.092 ]	0.314	[ -0.2 ,  0.809 ]
dravidian_malayalam	0.427	[ -0.523 ,  1.352 ]	0.318	[ -0.252 ,  0.821 ]	0.427	[ -0.523 ,  1.352 ]	0.318	[ -0.252 ,  0.821 ]
dravidian_tamil	0.333	[ -0.639 ,  1.247 ]	0.3	[ -0.261 ,  0.803 ]	0.333	[ -0.639 ,  1.247 ]	0.3	[ -0.261 ,  0.803 ]
dravidian_telugu	0.3	[ -0.573 ,  1.146 ]	0.36	[ -0.161 ,  0.863 ]	0.3	[ -0.573 ,  1.146 ]	0.36	[ -0.161 ,  0.863 ]
eskimo-aleut_aleut	0.331	[ -0.569 ,  1.21 ]	0.302	[ -0.227 ,  0.803 ]	0.331	[ -0.569 ,  1.21 ]	0.302	[ -0.227 ,  0.803 ]
eskimo-aleut_central.siberian.yupik	0.289	[ -0.724 ,  1.287 ]	0.591	[ 0.105 ,  1.285 ]	0.289	[ -0.724 ,  1.287 ]	0.591	[ 0.105 ,  1.285 ]
eskimo-aleut_kalaallisut	0.368	[ -0.66 ,  1.354 ]	0.354	[ -0.211 ,  0.892 ]	0.368	[ -0.66 ,  1.354 ]	0.354	[ -0.211 ,  0.892 ]
indo-european_armenian	-0.07	[ -1.091 ,  0.887 ]	0.705	[ 0.206 ,  1.357 ]	-0.07	[ -1.091 ,  0.887 ]	0.705	[ 0.206 ,  1.357 ]
indo-european_belarusian	0.371	[ -0.543 ,  1.299 ]	0.288	[ -0.247 ,  0.788 ]	0.371	[ -0.543 ,  1.299 ]	0.288	[ -0.247 ,  0.788 ]
indo-european_bengali	0.474	[ -0.342 ,  1.304 ]	0.385	[ -0.118 ,  0.927 ]	0.474	[ -0.342 ,  1.304 ]	0.385	[ -0.118 ,  0.927 ]
indo-european_breton	0.621	[ -0.079 ,  1.407 ]	0.351	[ -0.109 ,  0.84 ]	0.621	[ -0.079 ,  1.407 ]	0.351	[ -0.109 ,  0.84 ]
